,driver_gender,driver_race,is_arrested,search_conducted,stop_outcome,age_group
21841,male,white,False,False,citation,10-30
21842,female,hispanic,False,False,citation,51-100
21843,female,hispanic,True,True,arrest,10-30
21844,male,hispanic,False,False,citation,31-50
21845,female,other,False,False,warning,10-30
21846,male,asian/pacific islander,False,False,warning,31-50
21847,male,hispanic,False,False,warning,51-100
21848,male,asian/pacific islander,False,False,warning,51-100
21849,male,black,False,False,citation,10-30
21850,female,hispanic,False,False,citation,31-50
21851,male,hispanic,False,False,citation,31-50
21852,female,black,False,False,warning,10-30
21853,female,black,False,False,warning,31-50
21854,male,hispanic,False,False,warning,10-30
21855,male,hispanic,False,False,warning,10-30
21856,male,black,False,False,citation,10-30
21857,male,hispanic,False,True,warning,10-30
21858,male,hispanic,False,True,warning,10-30
21859,male,asian/pacific islander,False,False,warning,31-50
21860,male,hispanic,False,False,warning,10-30
21861,female,asian/pacific islander,False,False,citation,10-30
21862,female,hispanic,False,False,warning,31-50
21863,male,black,False,False,citation,31-50
21864,male,white,False,False,citation,31-50
21865,female,other,False,False,citation,31-50
21866,male,white,False,False,citation,10-30
21867,male,black,False,True,citation,10-30
21868,male,black,False,True,warning,10-30
21869,female,hispanic,False,False,citation,31-50
21870,male,other,False,False,citation,10-30
21871,female,white,False,False,citation,31-50
21872,male,hispanic,False,False,citation,31-50
21873,male,hispanic,False,False,citation,10-30
21874,male,black,False,False,warning,31-50
21875,male,hispanic,False,False,citation,10-30
21876,female,hispanic,False,False,citation,10-30
21877,male,hispanic,False,False,citation,31-50
21878,female,white,False,False,citation,31-50
21879,male,black,False,False,citation,31-50
21880,male,hispanic,False,False,citation,31-50
21881,male,hispanic,False,False,citation,10-30
21882,male,hispanic,False,False,citation,10-30
21883,male,white,False,False,citation,51-100
21884,male,hispanic,False,False,citation,31-50
21885,male,hispanic,False,False,citation,31-50
21886,female,hispanic,False,False,warning,31-50
21887,male,other,False,False,warning,10-30
21888,male,black,False,False,citation,31-50
21889,male,white,False,False,warning,10-30
21890,male,hispanic,False,False,warning,31-50
21891,male,hispanic,False,False,warning,31-50
21892,female,white,False,False,warning,31-50
21893,male,black,False,True,warning,10-30
21894,male,hispanic,False,False,warning,51-100
21895,male,hispanic,False,False,warning,31-50
21896,male,hispanic,False,False,warning,10-30
21897,male,asian/pacific islander,False,True,warning,10-30
21898,male,asian/pacific islander,False,False,warning,10-30
21899,male,black,False,False,warning,10-30
21900,male,asian/pacific islander,False,False,warning,10-30
21901,male,white,False,True,warning,10-30
21902,male,other,False,True,warning,10-30
21903,male,black,False,True,warning,10-30
21904,male,asian/pacific islander,False,False,warning,10-30
21905,male,black,False,True,warning,10-30
21906,female,white,False,False,warning,10-30
21907,male,hispanic,False,False,warning,10-30
21908,male,hispanic,False,False,warning,31-50
21909,male,black,False,False,warning,10-30
21910,male,other,False,False,warning,31-50
21911,male,hispanic,False,True,warning,10-30
21912,male,hispanic,False,True,warning,10-30
21913,male,hispanic,False,True,warning,10-30
21914,male,hispanic,False,False,warning,10-30
21915,male,black,False,True,warning,31-50
21916,female,hispanic,False,False,warning,31-50
21917,female,black,False,False,citation,31-50
21918,male,black,False,False,warning,10-30
21919,male,white,False,True,citation,31-50
21920,male,white,False,False,citation,31-50
21921,female,white,False,False,warning,51-100
21922,female,hispanic,False,False,citation,10-30
21924,female,hispanic,False,False,warning,31-50
21925,male,black,False,True,citation,10-30
21926,female,hispanic,False,False,citation,10-30
21927,male,white,False,True,warning,10-30
21928,male,asian/pacific islander,False,False,citation,31-50
21929,male,black,False,False,citation,31-50
21930,male,asian/pacific islander,False,False,warning,31-50
21931,male,black,False,True,warning,10-30
